JOURNAL_ID,DEBIT,CREDIT,ACCOUNT,REASON,DATE
aa0354,,1.0000,Stride Activity,account_transfer,"Fri, 13 Dec 2013 21:32:01 -0800"
bb8065,,9.4200,Visa Network Settlement,card_purchase,"Fri, 13 Dec 2013 22:09:52 -0800"
391bf8,,0.8000,Visa Network Settlement,card_purchase,"Fri, 13 Dec 2013 19:19:05 -0800"
0e212f,6.6700,,Stride Activity,card_purchase,"Fri, 13 Dec 2013 17:48:34 -0800"
90ee1f,,53.0000,Visa Network Settlement,card_purchase,"Fri, 13 Dec 2013 19:19:10 -0800"
ce958e,1.4800,,Stride Activity,card_purchase,"Fri, 13 Dec 2013 19:19:08 -0800"
ce958e,,1.4800,Visa Network Settlement,card_purchase,"Fri, 13 Dec 2013 19:19:08 -0800"
9e6fc3,0.9000,,Stride Activity,card_purchase,"Fri, 13 Dec 2013 19:19:07 -0800"
9ff4a4,22.1900,,Stride Activity,card_purchase,"Fri, 13 Dec 2013 07:13:21 -0800"
9ff4a4,,22.1900,Visa Network Settlement,card_purchase,"Fri, 13 Dec 2013 07:13:21 -0800"
1aa1b4,,25.1200,Visa Network Settlement,card_purchase,"Fri, 13 Dec 2013 19:59:38 -0800"
7e3c3e,7.0800,,Stride Activity,card_purchase,"Fri, 13 Dec 2013 19:22:12 -0800"
014523,,16.9900,Visa Network Settlement,card_purchase,"Fri, 13 Dec 2013 20:51:32 -0800"
1aa1b4,25.1200,,Stride Activity,card_purchase,"Fri, 13 Dec 2013 19:59:38 -0800"
0e212f,,6.6700,Visa Network Settlement,card_purchase,"Fri, 13 Dec 2013 17:48:34 -0800"
c4c4ca,,67.2900,Stride Activity,card_refund,"Fri, 13 Dec 2013 07:17:21 -0800"
86ece4,30.0000,,Visa Network Settlement,retail_cash_load_us,"Thu, 12 Dec 2013 07:09:14 -0800"
0f3a5b,21.3300,,Stride Activity,card_purchase,"Thu, 12 Dec 2013 16:28:37 -0800"
86ece4,,30.0000,Stride Activity,retail_cash_load_us,"Thu, 12 Dec 2013 07:09:14 -0800"
0f3a5b,,21.3300,Visa Network Settlement,card_purchase,"Thu, 12 Dec 2013 16:28:37 -0800"
3f617c,,54.6600,Visa Network Settlement,card_purchase,"Wed, 11 Dec 2013 19:09:52 -0800"
f14dbd,,1.7500,Visa Network Settlement,card_purchase,"Wed, 11 Dec 2013 08:02:28 -0800"
707adb,4.7800,,Stride Activity,card_purchase,"Wed, 11 Dec 2013 00:28:16 -0800"
707adb,,4.7800,Visa Network Settlement,card_purchase,"Wed, 11 Dec 2013 00:28:16 -0800"
7ce01e,,33.9300,Visa Network Settlement,card_purchase,"Tue, 10 Dec 2013 18:34:45 -0800"
54c75a,1.8900,,Stride Activity,card_purchase,"Tue, 10 Dec 2013 19:20:54 -0800"
ca6af1,21.7300,,Stride Activity,card_purchase,"Tue, 10 Dec 2013 16:36:29 -0800"
ca6af1,,21.7300,Visa Network Settlement,card_purchase,"Tue, 10 Dec 2013 16:36:29 -0800"
40d298,,3.1900,Visa Network Settlement,card_purchase,"Tue, 10 Dec 2013 19:20:49 -0800"
444e6b,,13.9100,Visa Network Settlement,card_purchase,"Mon, 09 Dec 2013 21:42:33 -0800"
444e6b,13.9100,,Stride Activity,card_purchase,"Mon, 09 Dec 2013 21:42:33 -0800"
34d6d7,,619.6500,Stride Activity,card_transfer,"Sun, 08 Dec 2013 22:01:10 -0800"
34d6d7,619.6500,,Visa Network Settlement,card_transfer,"Sun, 08 Dec 2013 22:01:10 -0800"
763212,,15.8800,Visa Network Settlement,card_purchase,"Sun, 08 Dec 2013 15:08:04 -0800"
e064be,,12.0000,Visa Network Settlement,card_purchase,"Sun, 08 Dec 2013 19:17:02 -0800"
918052,3.8300,,Stride Activity,card_purchase,"Sun, 08 Dec 2013 19:40:29 -0800"
763212,15.8800,,Stride Activity,card_purchase,"Sun, 08 Dec 2013 15:08:04 -0800"
91853e,,176.8100,Galileo Settlement,account_transfer,"Sat, 07 Dec 2013 07:11:13 -0800"
772fa3,,20.0000,Stride Activity,retail_cash_load_us,"Fri, 06 Dec 2013 16:24:09 -0800"
772fa3,20.0000,,Visa Network Settlement,retail_cash_load_us,"Fri, 06 Dec 2013 16:24:09 -0800"
3e0851,2.2500,,Stride Activity,card_purchase,"Wed, 04 Dec 2013 22:07:08 -0800"
3e0851,,2.2500,Visa Network Settlement,card_purchase,"Wed, 04 Dec 2013 22:07:08 -0800"
2e5063,14.2400,,Stride Activity,card_purchase,"Wed, 04 Dec 2013 12:47:08 -0800"
89bc0e,,100.5200,Visa Network Settlement,card_purchase,"Wed, 04 Dec 2013 07:19:46 -0800"
66bf93,17.9900,,Stride Activity,card_purchase,"Wed, 04 Dec 2013 08:06:52 -0800"
e210cd,200.0000,,Visa Network Settlement,card_transfer,"Tue, 03 Dec 2013 03:46:19 -0800"
e210cd,,200.0000,Stride Activity,card_transfer,"Tue, 03 Dec 2013 03:46:19 -0800"
f5ceb0,1.8200,,Stride Activity,card_purchase,"Mon, 02 Dec 2013 19:35:34 -0800"
5c3a41,1.0400,,Stride Activity,card_purchase,"Mon, 02 Dec 2013 19:35:34 -0800"
5c3a41,,1.0400,Visa Network Settlement,card_purchase,"Mon, 02 Dec 2013 19:35:34 -0800"
e9454b,15.3900,,Stride Activity,card_purchase,"Mon, 02 Dec 2013 19:35:48 -0800"
f5ceb0,,1.8200,Visa Network Settlement,card_purchase,"Mon, 02 Dec 2013 19:35:34 -0800"
51e7d7,1.8200,,Stride Activity,card_purchase,"Mon, 02 Dec 2013 19:35:34 -0800"
a42cc2,,6.5200,Stride Activity,card_refund,"Mon, 02 Dec 2013 07:55:21 -0800"
a42cc2,6.5200,,Visa Network Settlement,card_refund,"Mon, 02 Dec 2013 07:55:21 -0800"
51e7d7,,1.8200,Visa Network Settlement,card_purchase,"Mon, 02 Dec 2013 19:35:34 -0800"
e61edb,,1.9900,Visa Network Settlement,card_purchase,"Mon, 02 Dec 2013 17:19:26 -0800"
85ed4f,5.0100,,Stride Activity,card_purchase,"Mon, 02 Dec 2013 19:35:34 -0800"
85ed4f,,5.0100,Visa Network Settlement,card_purchase,"Mon, 02 Dec 2013 19:35:34 -0800"
e9454b,,15.3900,Visa Network Settlement,card_purchase,"Mon, 02 Dec 2013 19:35:48 -0800"
e61edb,1.9900,,Stride Activity,card_purchase,"Mon, 02 Dec 2013 17:19:26 -0800"
53a59e,,200.0000,Stride Activity,card_transfer,"Sun, 01 Dec 2013 23:17:16 -0800"
